n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
172141;45.83584;7.318181;1162;NA;asperge;Valpelline;Valpelline;Vallée d'Aoste;Italie;NA;NA
172142;45.21897;6.340579;1525;1517;asphodele;Albiez-Montrond;Savoie;Auvergne-Rhône-Alpes;France;7543;6919
172143;45.42766;6.485018;1140;1094;aubergine;Les Belleville;Savoie;Auvergne-Rhône-Alpes;France;7973;6671
172144;45.89488;6.77488;1070;1068;avoine;Les Houches;Haute-Savoie;Auvergne-Rhône-Alpes;France;8977;6104
172145;46.04818;6.358649;650;638;bacchante;Saint-Laurent;Haute-Savoie;Auvergne-Rhône-Alpes;France;9115;6009
172146;45.14443;5.801108;585;606;badiane;Herbeys;Isère;Auvergne-Rhône-Alpes;France;7395;6996
172147;47.75499;6.73449;494;516;balsamine;Plancher-Bas;Haute-Saône;Bourgogne-Franche-Comté;France;12550;3359
172148;44.93625;5.430918;850;814;bambou;Saint-Agnan-en-Vercors;Drôme;Auvergne-Rhône-Alpes;France;6962;7230
172149;44.53949;6.049797;760;772;barbadine;Gap;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6110;7731
172150;46.03943;6.10634;820;810;bardane;Cruseilles;Haute-Savoie;Auvergne-Rhône-Alpes;France;9113;6007
172151;44.878754;4.331057;NA;815;Mariac;Mariac;Ardèche;Auvergne-Rhône-Alpes;France;6665;7383
172152;44.53235;5.667893;820;829;barge;La Beaume;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6107;7728
